ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
1	p	143.09448	144.1017	M+H	3.829	DL-Stachydrine	C7 H13 N O2	72411618.82	78040078.98		88851067.41	44057274.15		92334585.99	78674965.64
2	p	127.94626	128.95352	M+H	4.365	128.95352_4.365		63610534.65	50782737.57		41623248.6	58655374.42		29384352.31	44083438.64
3	p	129.15178	130.15906	M+H	3.196	"N,N-Diisopropylethylamine (DIPEA)"	C8 H19 N	9570332.133	4012120.606		6908794.321	96645324.84		4489954.369	6145833.99
4	p	137.04751	137.04746	M+H	3.413	Trigonelline	C7 H7 N O2	42070249.98	49222596.57		63467273.19	32170156.19		66752097.09	56937641.51
5	p	161.10502	162.1123	M+H	4.261	L(-)-Carnitine	C7 H15 N O3	50545514.79	42041873.34		53641894.28	25054039.12		50471562.74	41763566.34
6	p	103.98539	104.99268	M+H	4.368	104.99268_4.368		36656689.16	29607276.94		18355404.3	27701640.06		14630656.9	24254275.21
7	p	153.04582	154.05299	M+H	1.7	154.05299_1.7	C4 H11 N O3 S	33898705.73	31068441.88		33667684.8	2956456.892		35003516.99	19077669.84
8	p	179.09451	180.10178	M+H	4.533	Phenacetin	C10 H13 N O2	8643536.506	16812898.59		14326970.97	1360682.5		36878757.11	9843468.69
9	p	142.07416	143.08138	M+H	3.995	Ectoine	C6 H10 N2 O2	15505272.92	23279355.01		19991796.94	4309390.329		24412711.34	26753609.77
10	p	130.11071	131.11787	M+H	4.647	N-Acetylputrescine	C6 H14 N2 O	13928041.97	12323747.89		3926781.026	36247994.22		1973027.389	3751356.451
11	p	143.09448	144.1017	M+H	4.305	DL-Stachydrine	C7 H13 N O2	17876834.3	20834221.61		22403756.95	11797779.88		17713307.09	19948660.76
12	p	113.08434	114.09169	M+H	4.722	Caprolactam	C6 H11 N O	13615406.02	12163199.91		3896028.02	35588619.97		3349557.768	3711910.291
13	p	159.08943	160.09671	M+H	3.772	3-Dehydrocarnitine	C7 H13 N O3	8182258.069	12326543.75		19893941.43	2227631.209		10850640.44	13084807.81
14	p	128.05865	129.06589	M+H	3.925	Dihydrothymine	C5 H8 N2 O2	2403532.88	5818353.09		4615308.694	610631.4788		15851079.24	6147945.129
15	p	217.04082	218.04805	M+H	1.252	tyramine sulfate	C8 H11 N O4 S	12016541.64	2323650.706		1973157.838	4149152.799		1107299.14	3961547.219
16	p	184.0638	184.0638	M+	2.349	Cholinesulfate	C5 H13 N O4 S	11958740.33	7553051.766		7318292.847	6543680.714		7588401.729	9507405.626
17	p	131.09467	132.10194	M+H	3.814	Leucine	C6 H13 N O2	9095866.746	10069092.04		13813317.57	3192892.58		13749969.68	9840174.916
18	p	137.04751	138.05478	M+H	3.814	3-Carboxy-1-methylpyridinium;N-Methylnicotinicacid	C7 H7 N O2	4951778.388	5557844.905		15126963.42	6807721.186		10051998.53	11270172.64
19	p	145.11021	145.1102	M+	4.537	Acetylcholine	C7 H15 N O2	10266763.52	10628204.63		8679167.279	3118083.202		2996207.764	3750168.997
20	p	185.98807	186.99532	M+H	4.361	186.99532_4.361		9565329.949	10542778.96		7489121.397	8714710.359		4629194.745	7739187.043
21	p	145.11022	146.11748	M+	4.261	Acetylcholine	C7 H15 N O2	10856400.11	9852316.464		7101558.902	4288977.176		6764020.24	6720220.859
22	p	82.05378	83.06106	M+H	3.224	83.06106_3.224		2408251.292	4513993.598		4277967.337	687573.3767		12323544.47	5040400.003
23	p	337.33406	338.34134	M+H	0.872	Erucamide	C22 H43 N O	410338.4441	3549198.229		1457792.034	598411.3045		1099060.38	13607345.25
24	p	159.12591	160.13318	M+H	4.616	Acetyl-beta-methylcholine	C8 H17 N O2	8098241.908	9298809.02		8084207.097	3366341.484		8342681.602	9482065.124
25	p	161.10502	162.1123	M+H	3.695	DL-Carnitine	C7 H15 N O3	9997098.349	8039609.503		11294763.75	2036536.776		9041484.211	9919771.937
26	p	156.08987	157.09709	M+H	4.093	157.09709_4.093	C7 H12 N2 O2	2473877.782	4281163.622		5250971.641	698244.1848		11398737.84	3915744.156
27	p	251.92107	252.92844	M+H	4.383	252.9284_4.383		8354769.788	8693842.702		6786947.783	8494819.398		4568403.665	7864220.831
28	p	144.1263	145.13356	M+H	4.573	N-(5-Aminopentyl)acetamide	C7 H16 N2 O	6269279.325	8096994.062		994479.5742	1531154.541		527971.8787	1863490.028
29	p	173.01463	174.02185	M+H	1.879	Sulfanilic acid	C6 H7 N O3 S	5146354.439	7909759.033		4555030.829	1051150.166		2353206.913	3876785.811
30	p	161.10502	162.1123	M+H	4.164	DL-Carnitine	C7 H15 N O3	3072176.057	5271503.015		7331784.315	330375.1295		9764459.588	5827987.687
31	p	117.07917	118.08648	M+H	3.906	Betaine	C5 H11 N O2	7794461.186	7573055.223		9128048.943	1268859.088		7223301.058	7764552.011
32	p	158.06909	159.07628	M+H	3.904	4-Methylene-L-glutamine	C6 H10 N2 O3	3530049.943	7275363.773		8027463.89	1601199.283		8000168.266	7607315.385
33	p	99.06885	100.07619	M+H	4.594	Valerolactam	C5 H9 N O	3019407.516	4929004.724		3445720.351	5636146.188		9057970.925	6321809.474
34	p	161.10503	162.1123	M+H	4.126	(S)-Carnitine	C7 H15 N O3	7654920.855	5271503.015		7477372.346	592424.2801		2354444.714	3800634.869
35	p	225.17268	226.17993	M+H	0.874	226.17993_0.874	C13 H23 N O2	1261433.577	4323251.178		853195.8482	655616.0023		1102956.083	10175022.12
36	p	188.11606	189.12329	M+H	3.995	6-Acetamido-3-aminohexanoate	C8 H16 N2 O3	5587983.993	6975286.225		5323764.1	1148335.387		5657638.812	4573235.666
37	p	210.16176	211.1691	M+H	0.878	UNII:BI845A018T	C13 H22 O2	1285409.421	4331603.109		932547.2621	655836.4154		1075977.859	9817904.184
38	p	211.92858	234.91782	M+Na	4.384	234.9178_4.384	C3 H2 O7 P2	7167975.838	6033105.113		5697753.957	7757872.192		3829465.219	3318720.379
39	p	225.98054	226.98782	M+H	4.374	225.9805_4.374	C5 H8 O6 P2	3686579.381	6467350.545		4157283.975	5316972.858		2695650.181	4435776.806
40	p	75.06916	76.07644	M+H	4.433	76.07644_4.433		5374279.974	6450472.934		6592047.176	1903205.108		2861268.303	4161577.629
41	p	208.14607	209.15338	M+H	0.872	4-(Heptyloxy)phenol	C13 H20 O2	1117573.955	3728117.406		757976.0148	586864.4224		982829.5929	8985232.802
42	p	227.18837	228.19559	M+H	0.869	Cyprodenate	C13 H25 N O2	1203839.329	3943823.304		907049.7844	628561.4695		1025587.451	8981381.408
43	p	233.91049	234.91785	M+H	4.35	234.91785_4.35		6719249.474	5159891.082		4929047.589	2374491.536		3277628.96	1920707.875
44	p	157.14673	158.15398	M+H	3.65	"2,2,6,6-Tetramethyl-4-piperidinol"	C9 H19 N O	2292710.486	1893417.907		2806647.014	10118405.37		2948059.773	2458254.219
45	p	217.04081	218.04807	M+H	1.167	tyramine sulfate	C8 H11 N O4 S	6322157.512	949044.9738		684605.4524	2618751.843		863456.9209	2594628.543
46	p	195.10074	196.10797	M+H	3.414	4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanol	C9 H13 N3 O2	4770361.401	5451701.871		7822457.912	2313519.201		7053173.198	6930375.062
47	p	167.93875	168.94603	M+H	4.367	168.9460_4.367	C H N2 O4 P S	1934796.553	5361118.099		4667761.957	4887282.873		2494040.535	4293656.874
48	p	161.10502	162.11234	M+H	3.875	DL-Carnitine	C7 H15 N O3	5327117.639	5180812.764		4714497.23	4506429.761		6635548.53	3825630.868
49	p	164.04363	165.05089	M+H	3.415	164.0436_3.415	C4 H8 N2 O5	2765211.828	890623.6619		7402809.542	532245.5897		1007460.121	4510008.644
50	p	136.03848	137.0457	M+H	1.724	Hypoxanthine	C5 H4 N4 O	3813470.224	4434141.695		5878836.062	4618457.451		6457775.17	3400520.348
51	p	305.17397	306.1813	M+H	1.928	306.18130_1.928	C16 H23 N3 O3	5591507.078	382199.1661		264265.5662	475317.0943		1458333.657	248981.4647
52	p	267.99114	268.99841	M+H	4.365	268.9984_4.365	C7 H10 O7 P2	5576114.647	3951967		5519447.717	6569692.536		3140737.746	5600080.07
53	p	175.12084	176.1281	M+H	3.931	(2S)-2-Amino-8-hydroxyoctanoic acid	C8 H17 N O3	4837267.709	3071387.35		4157171.367	513823.8155		3686347.065	3669414.038
54	p	147.08947	148.09671	M+H	3.704	afegostat	C6 H13 N O3	3063467.798	4307274.829		3697921.492	833767.8205		4173132.151	2972321.961
55	p	549.62155	550.62878	M+H	3.006	549.6216_3.006	C38 H79 N	828298.3602	914557.14		779662.2161	7374025.564		876210.9264	1012028.433
56	p	172.13251	173.13977	M+H	4.488	N-(4-Carbamimidamidobutyl)acetamide	C7 H16 N4 O	1220872.204	1077434.398		414310.8398	7328372.526		971251.7501	644155.81
57	p	136.03845	137.0457	M+H	1.633	Hypoxanthine	C5 H4 N4 O	854562.0772	1361353.824		1599815.124	1562417.509		5304589.371	848602.2925
58	p	129.09043	130.09767	M+H	5.103	4-Guanidinobutanal	C5 H11 N3 O	1261504.591	1249341.447		1084058.179	7146471.787		1130004.435	1247967.76
59	p	154.07416	155.08147	M+H	4.29	155.0815_4.29	C7 H10 N2 O2	2054059.275	2968425.772		3605056.279	1364871.436		5174072.261	3009054.752
60	p	120.05771	121.065	M+H	1.243	Acetophenone	C8 H8 O	4337773.366	436193.6684		437345.3097	597777.9347		181494.167	826601.5134
61	p	267.99114	268.99847	M+H	4.314	268.9985_4.314	C7 H10 O7 P2	2814214.517	3951967		5519447.717	30204.16482		3140737.746	5600080.07
62	p	201.1477	202.15494	M+H	3.833	201.1477_3.833	C9 H19 N3 O2	3424482.693	3820056.872		4368210.142	3339355.202		4317446.275	4016736.297
63	p	126.04308	127.05032	M+H	3.654	Imidazoleacetic acid	C5 H6 N2 O2	701932.827	1466677.072		1095158.549	86454.15071		4744823.917	1724101.249
64	p	145.01154	146.01883	M+H	4.355	146.0188_4.355	C5 H8 N P S	3677594.376	3768706.615		3548481.583	3532374.264		546777.976	3700563.534
65	p	203.11581	204.12302	M+H	4.13	Acetyl-L-carnitine	C9 H17 N O4	3917968.132	3073997.989		1850075.73	1837802.726		2142267.192	1805900.317
66	p	306.09172	307.09894	M+H	1.657	307.09894_1.657	C8 H14 N6 O7	1161276.851	1163648.442		1300460.632	27237.36666		4463905.987	1330033.961
67	p	165.07904	166.08633	M+H	4.553	D-Phenylalanine	C9 H11 N O2	1485872.541	2113650.831		2305946.094	275121.956		4292022.991	1595133.495
68	p	175.12084	176.12811	M+H	4.451	(2S)-2-Amino-8-hydroxyoctanoic acid	C8 H17 N O3	2241726.428	2671612.821		4086512.169	502584.4665		4286398.17	3059879.082
69	p	159.12587	160.13301	M+H	3.657	Pregabalin	C8 H17 N O2	2832875.579	3401532.624		2307963.292	2475958.345		3655916.843	2374075.297
70	p	243.18325	244.19083	M+H	1.552	N-Undecanoylglycine	C13 H25 N O3	766369.0492	1866997.197		1168867.325	356311.2878		286967.3121	4917050.856
71	p	273.90301	274.91022	M+H	4.364	274.91022_4.364		1473485.442	3350578.567		776449.1037	3941446.733		1208507.05	3029370.325
72	p	205.03744	206.04471	M+H	1.787	Xanthurenic acid	C10 H7 N O4	1990773.738	3321596.773		890953.3955	3504.797384		1649498.316	625181.2028
73	p	140.05851	141.06577	M+H	3.755	Methylimidazoleaceticacid	C6 H8 N2 O2	2326260.727	3305413.88		3548939.353	996469.6547		2277828.298	2720688.621
74	p	137.0475	18.05496	M+H	3.561	Trigonelline	C7 H7 N O2	1109556.332	244257.8637		3712309.438	448911.6985		4122071.019	654353.9361
75	p	175.12084	176.12813	M+H	4.146	(2S)-2-Amino-8-hydroxyoctanoic acid	C8 H17 N O3	3539756.856	3039121.751		2830329.832	782105.9023		2818363.716	2758167.123
76	p	103.1002	104.10749	M+H	4.666	Choline	C5 H13 N O	2651375.438	3168592.862		3813991.044	3042458.139		1460852.296	1572686.569
77	p	245.16272	246.16995	M+H	3.89	3-[(2-Methylbutanoyl)oxy]-4-(trimethylammonio)butanoate	C12 H23 N O4	3371533.86	2540803.252		928673.4311	1387070.35		505950.0861	1074907.194
78	p	365.07493	366.08221	M+H	2.265	366.08221_2.265	C17 H11 N5 O5	1341590.525	3093235.049		2505511.56	49436.86314		2176703.486	4323082.599
79	p	123.03561	124.0428	M+H	2.124	124.0428_2.124	C3 H9 N O2 S	978159.893	630927.6759		994717.8343	1315587.886		811942.9205	4354251.468
80	p	708.06535	709.07294	M+H	0.919	709.07294_0.919		3135105.751	2051887.996		2904750.808	1905680.607		2432678.906	3933032.824
81	p	249.94182	250.94905	M+H	4.374	250.94905_4.374		2721982.308	2792151.179		3167743.027	4336194.736		2094074.153	3360530.491
82	p	108.03256	109.04003	M+H	3.652	Methylimidazoleacetic acid	C6 H8 N2 O2	515139.1755	539443.6448		3749416.894	1010438.066		1153422.001	460784.1346
83	p	189.10002	190.10722	M+H	3.935	(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate	C8 H15 N O4	1907871.953	2593008.119		2709573.237	184492.7982		1891325.632	1693174.637
84	p	243.18327	244.19054	M+H	0.873	N-Undecanoylglycine	C13 H25 N O3	462544.25	1475987.692		296970.6704	250672.2591		377181.4844	3735075.466
85	p	226.15662	227.16385	M+H	0.87	trans-Methyl dihydrojasmonate	C13 H22 O3	457497.8131	1457666.495		295035.5344	247744.7901		372649.5717	3654641.817
86	p	161.14166	162.4897	M+H	5.427	162.4897_5.427	C8 H19 N O2	2741561.45	2496920.491		1826417.835	763038.691		405068.6888	835020.0752
87	p	157.11031	158.11754	M+H	3.814	tranexamic acid	C8 H15 N O2	2711792.161	2466326.935		2314420.617	1384110.488		2146378.649	2412119.099
88	p	177.99745	179.00471	M+H	3.899	179.0047_3.899	C4 H9 N2 P3	2065297.021	2283655.941		1723374.797	454863.113		3114098.098	2083139.475
89	p	131.09467	132.10196	M+H	4.334	Leucine	C6 H13 N O2	387865.1696	900859.1209		1835990.769	474659.7432		3073561.582	863962.4874
90	p	304.29588	305.30322	M+H	3.341	305.30322_3.341		994463.6081	554399.4954		1462788.655	4181471.905		1060524.108	1168607.78
91	p	173.10527	174.11252	M+H	4.062	Hexanoylglycine	C8 H15 N O3	2416795.284	2002755.692		1340854.223	1408552.037		1408487.247	1270023.432
92	p	115.10005	116.10732	M+H	4.684	n-Hexanamide	C6 H13 N O	2366580.678	2132784.392		2475455.271	851971.2592		1458847.087	2132388.664
93	p	295.91104	296.91837	M+H	4.369	296.91837_4.369	C6 H2 O10 P2	1532219.462	2155822.371		1395313.616	2578836.046		1223484.655	2209698.757
94	p	205.03746	206.04456	M+H	0.949	Xanthurenic acid	C10 H7 N O4	1184229.843	2137782.033		1855113.248	125964.0447		2519794.282	970035.4989
95	p	217.13145	218.13869	M+H	4.044	Propionylcarnitine	C10 H19 N O4	2242937.707	1758558.778		1095516.593	633317.2018		869533.1789	928238.5113
96	p	230.036	231.04329	M+H	0.921	Asulam	C8 H10 N2 O4 S	493615.2928	644119.2159		382395.3531	3507598.843		551621.8002	396094.7627
97	p	170.07251	171.0798	M+H	1.695	171.07980_1.695	C6 H11 N4 P	2190775.636	1648591.854		1759899.909	88920.78269		1538964.41	1135488.908
98	p	143.1312	144.13846	M+H	5.445	Valpromide	C8 H17 N O	2101778.903	1935013.333		1439267.95	608033.7707		330197.7522	662788.8954
99	p	291.95237	292.95966	M+H	4.366	292.95966_4.366	C4 H2 N6 O6 P2	2086760.265	1243517.101		1965303.843	2412714.732		1124981.678	2077183.945
100	p	195.05659	196.06378	M+H	2.769	196.06378_2.769	C6 H13 N O4 S	1211531.56	1833310.818		1436909.452	77761.19871		1720251.197	1024698.807
101	p	258.06743	259.07477	M+H	1.124	"(5R,6S)-3-[(2-Aminoethyl)sulfanyl]-6-(hydroxymethyl)-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid"	C10 H14 N2 O4 S	1891834.279	212808.0725		145621.2052	244644.9069		28699.4407	501308.9791
102	p	190.13563	191.14282	M+H	0.873	Heptanophenone	C13 H18 O	313320.6008	1145005.014		135281.8897	123399.0386		254420.0991	2464004.221
103	p	150.13687	151.14415	M+H	4.435	151.14415_4.435		1274476.109	1699911.593		1191211.908	91391.82886		246657.2942	437229.2953
104	p	75.06843	151.1441	2M+H	4.433	(R)-1-Aminopropan-2-ol	C3 H9 N O	1274476.109	1699911.593		1191211.908	91391.82886		246657.2942	437229.2953
105	p	205.03743	206.04474	M+H	1.043	Xanthurenic acid	C10 H7 N O4	216368.5199	1683715.56		220950.8083	18601.38679		572012.7832	116760.8346
106	p	143.9202	144.92751	M+H	4.442	144.9275_4.442		1823689.999	1406096.724		1541424.293	2512134.073		1241413.428	1758665.205
107	p	293.93171	294.93903	M+H	4.382	294.93903_4.382	C7 H4 O9 P2	1591909.659	1611526.521		1896974.124	2835910.654		1270672.796	2048764.197
108	p	217.0408	218.04811	M+H	1.085	tyramine sulfate	C8 H11 N O4 S	27230.9284	150309.8076		4194.849503	787298.5803		737672.2079	2369680.178
109	p	211.09897	212.10617	M+H	1.693	212.10617_1.693	C6 H17 N3 O3 S	1759580.561	1304163.275		1463203.61	70599.7503		1174770.3	928186.7187
110	p	120.05769	121.06507	M+H	1.162	Acetophenone	C8 H8 O	1721423.134	91749.607		284420.0143	549177.586		223383.0246	437153.1271
111	p	227.18831	228.1956	M+H	1	Cyprodenate	C13 H25 N O2	246242.2228	802709.4744		171709.8115	43582.58368		56833.19922	2254887.476
112	p	714.0562	715.06342	M+H	0.918	715.06342_0.918		269373.7577	1555004.844		1677280.235	257052.0465		1385163.767	215550.4078
113	p	315.91377	316.92096	M+H	4.37	316.92096_4.37	C4 H2 N2 O11 P2	791144.2543	1445908.484		1762030.046	2661836.173		1181481.084	1890605.183
114	p	161.14169	162.14896	M+H	4.816	162.14896_4.816	C8 H19 N O2	197428.6174	609737.4715		2144275.294	64144.38883		1708564.88	347503.4649
115	p	712.05937	713.06665	M+H	0.898	713.0667_0.898		517336.8356	322557.5944		499825.2531	2569718.442		366263.301	355450.4615
116	p	401.26276	402.26996	M+H	1.362	402.26996_1.362	C18 H35 N5 O5	886033.2823	869903.2349		294025.7405	2554399.3		203027.894	264979.853
117	p	317.89296	318.9003	M+H	4.297	318.90030_4.297	C5 H5 O8 P3 S	352224.1522	1491589.362		360216.6854	1614888.755		753942.2385	1537927.267
118	p	159.08944	160.09692	M+H	3.672	3-Dehydrocarnitine	C7 H13 N O3	1169630.124	1477835.692		1198810.631	306047.1104		1378979.826	1318266.87
119	p	159.08944	160.09682	M+H	4.071	3-Dehydrocarnitine	C7 H13 N O3	1244856.791	1475444.49		1427847.792	402752.6766		1671125.268	1088016.594
120	p	339.87498	340.88217	M+H	4.372	340.8822_4.372		611398.9595	1408821.88		1025350.704	1729223.681		780781.952	465203.3008
121	p	209.94934	210.95657	M+H	4.375	210.9566_4.375	C4 H4 O6 P2	610135.8272	1402485.909		884989.4649	834665.194		560359.4516	925593.2871
122	p	379.89341	380.90073	M+H	4.375	380.90073_4.375	C4 H2 N2 O15 P2	1468166.74	996331.3774		678079.2061	1297033.51		597730.7418	569290.4069
123	p	263.16351	264.17078	M+H	4.015	264.1778_4.015	C14 H21 N3 O2	1464812.038	59651.3457		26272.47213	379111.1193		33817.69576	34257.13079
124	p	111.0436	112.05087	M+H	2.144	Cytosine	C4 H5 N3 O	275591.8409	162734.1407		277693.2899	143525.5146		1675647.149	297299.0541
125	p	159.08943	160.09685	M+H	3.562	3-Dehydrocarnitine	C7 H13 N O3	1110955.301	1333533.673		495854.6307	100120.1381		1114542.15	1163093.793
126	p	375.93496	376.94211	M+H	4.375	376.94211_4.375	C7 H10 N2 O8 P2 S2	1249531.571	1312876.678		832623.1856	1141091.474		487519.353	902609.1195
127	p	175.12085	176.12808	M+H	4.337	(2S)-2-Amino-8-hydroxyoctanoic acid	C8 H17 N O3	1362717.007	1297487.795		1487181.439	440017.9668		1140023.803	1206963.62
128	p	353.32914	354.33649	M+H	0.878	354.33649_0.878	C22 H43 N O2	109380.6671	771542.9302		423832.8583	61041.18964		254199.8096	1831680.451
129	p	111.04364	112.05087	M+H	2.617	Cytosine	C4 H5 N3 O	573857.0973	485310.0285		397321.1606	469536.1528		1563819.667	982995.9206
130	p	175.0279	176.03522	M+H	1.691	176.03522_1.691	C2 H5 N7 O S	1352509.338	1015436.775		1614938.052	151083.822		1528971.051	1012984.156
131	p	143.1311	144.1384	M+H	4.822	valpromide	C8 H17 N O	171786.429	519869.7314		1755172.286	62573.33098		1406279.747	299455.1328
132	p	104.10699	104.10745	M+	2.357	Choline	C5 H13 N O	1315662.843	632089.0661		750780.6973	425645.9616		544622.7711	847873.8865
133	p	191.11578	192.12302	M+H	4.152	192.12302_4.152	C8 H17 N O4	1302847.91	1152527.829		1109309.891	114750.5241		922558.0659	1385995.436
134	p	373.95562	374.96286	M+H	4.377	Deoxyribosetriphosphate	C5 H13 O13 P3	1161497	1192810.486		671402.3364	799501.1272		344547.5769	693910.1218
135	p	396.16857	397.1759	M+H	1.066	"(S-(R*,R*))-3-((1-Carboxy-3-phenylpropyl)amino)-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine-1-acetic Acid"	C22 H24 N2 O5	2241.625879	33120.69884		17959.23254	7070.361825		1488080.911	26636.40475
136	p	343.2208	344.22794	M+H	1.546	344.22794_1.546	C15 H29 N5 O4	493570.7408	814591.9225		276111.3082	2023833.191		238586.5477	420855.97
137	p	126.09083	127.09811	M+H	4.975	127.09811_4.975	C5 H10 N4	448281.9848	381600.3071		337819.0882	2012001.268		321773.2838	364608.3855
138	p	445.289	446.29633	M+H	1.424	446.2963_1.424	C14 H40 N9 O5 P	325881.9236	266311.3641		251848.7182	1968461.218		164656.0336	283542.7191
139	p	231.14716	232.15443	M+H	3.964	Butyryl-L-carnitine	C11 H21 N O4	1241276.177	649859.5815		280699.509	205772.0556		85489.66626	213081.1898
140	p	331.32385	332.33118	M+H	3.315	332.33118_3.315	C23 H41 N	271364.7449	237217.0235		360213.4407	1892009.804		329609.7743	354220.8202
141	p	93.05838	94.06565	M+H	3.408	94.06565_3.408		523527.8762	760726.8394		998216.5449	261571.6501		1381856.698	749010.7538
142	p	180.15127	181.15857	M+H	0.872	"(5E,7E)-Dodecadienal"	C12 H20 O	182394.1958	652061.4437		97794.03431	69430.48406		126610.084	1574137.253
143	p	399.89613	400.90329	M+H	4.367	400.90329_4.367	C5 H3 N6 O8 P3 S	525803.5744	1081535.808		796761.6059	1137781.404		513199.1699	747858.384
144	p	282.16798	283.17523	M+H	1.422	PEG n6	C12 H26 O7	649198.2151	1066034.573		644262.4678	1561217.712		315953.8702	824625.6903
145	p	365.07492	366.0824	M+H	1.875	366.08240_1.875	C17 H11 N5 O5	162273.1296	142482.709		800592.7831	10027.01545		1021047.647	1498855.478
146	p	115.10005	116.10733	M+H	4.558	n-Hexanamide	C6 H13 N O	1092247.45	930344.8402		992529.4455	316149.5564		797897.4898	646597.2032
147	p	213.17276	444.37955	2M+NH4	0.875	444.37982_0.875	C12 H23 N O2	227664.0898	665942.3488		234246.9338	58005.12132		238677.1286	1427204.033
148	p	187.13224	188.13951	M+H	4.651	188.13951_4.651	C8 H17 N3 O2	615547.9367	690725.9354		482650.3824	353467.4471		1229874.395	935229.8113
149	p	219.11077	220.11804	M+H	4.09	Pantothenicacid(VitaminB5)	C9 H17 N O5	171819.1824	705855.0495		484821.8828	52248.04347		1227763.844	549738.3305
150	p	387.24688	388.25421	M+NH4	1.669	PEG n8	C11 H34 N9 O4 P	467297.4332	658599.6654		213032.3659	1638913.041		148133.1416	295394.4214
151	p	205.03726	206.0446	M+H	0.883	Xanthurenic acid	C10 H7 N O4	66253.13758	176794.7361		143531.8915	125964.0447		1190768.217	91866.25599
152	p	367.0902	368.09735	M+H	0.937	368.09735_0.937	C17 H13 N5 O5	8455.336176	22983.01945		154919.697	44829.56449		1139030.717	395637.9574
153	p	401.87538	402.88266	M+H	4.361	402.88266_4.361	C4 H N6 O9 P3 S	987292.6221	671743.0883		354904.6422	867917.0433		397815.0847	366813.9907
154	p	240.14744	241.15471	M+H	4.245	UNII:OG645J8RVW	C12 H20 N2 O3	674303.9163	359192.377		992638.1941	528154.2667		838764.8705	1308788.918
155	p	225.17258	226.18002	M+H	1.562	226.18002_1.562	C13 H23 N O2	390668.347	733044.913		585658.6683	190838.9329		41866.59725	1298927.204
156	p	125.01482	126.02207	M+H	2.838	Taurine	C2 H7 N O3 S	673086.851	865192.7512		515301.5572	514289.9929		1077320.764	425487.5102
157	p	194.11547	195.12276	M+H	1.217	195.12276_1.217	C8 H18 O5	937171.2978	349435.7025		630706.2998	479214.9993		162732.688	576867.1769
158	p	238.14164	239.14886	M+H	1.293	PEG n5	C10 H22 O6	934612.5756	682702.9426		822519.3095	1223921.86		295612.5784	524935.821
159	p	96.06922	97.0765	M+H	3.203	"1,4-Dimethylimidazole"	C5 H8 N2	711314.185	628539.8594		783831.188	378229.5313		1060660.091	739374.914
160	p	260.13729	261.14456	M+H	4.329	gamma-Glutamylleucine	C11 H20 N2 O5	916242.37	675804.8295		316597.3192	652572.1938		408627.8674	452570.4635
161	p	349.99433	351.00159	M+H	4.377	351.00159_4.377	C5 H13 N4 O8 P3	696947.4989	816333.9722		649192.0656	674917.0067		324470.5254	665106.8559
162	p	369.32404	370.33142	M+H	0.879	370.3314_0.879	C22 H43 N O3	69230.14325	538843.8319		352687.6208	38182.02243		188452.7084	1180959.211
163	p	355.90624	356.91339	M+H	4.37	356.91339_4.37	C7 H O15 P	267147.8113	807960.6263		559674.7355	789913.6325		359988.0149	602922.9743
164	p	357.23627	358.2435	M+H	1.262	358.2435_1.262	C16 H31 N5 O4	641762.5444	806057.5484		372682.9304	1306056.172		206983.108	326030.188
165	p	443.04936	444.05658	M+H	0.92	444.05658_0.92	C6 H20 N7 O10 P3	827263.9245	790378.942		986727.8528	1105258.648		826057.8276	969397.4881
166	p	140.1314	141.13872	M+H	5.358	141.1387_5.358	C8 H16 N2	805768.0063	782301.5237		477008.3249	221599.1044		98016.46358	219168.1636
167	p	225.07495	226.08223	M+H	2.126	226.0822_2.126	C9 H11 N3 O4	8653.124681	24821.90987		45021.93694	11913.403		973861.6874	387572.4856
168	p	205.07013	206.0775	M+H	3.306	206.07750_3.306	C6 H11 N3 O5	584986.8759	98784.41218		734773.5963	73236.71205		152004.9174	1121152.116
169	p	189.08248	190.08977	M+H	3.918	Prenyl-L-cysteine	C8 H15 N O2 S	841397.8861	577062.9515		554665.889	137398.3151		541970.4429	340686.0232
170	p	217.14269	218.15001	M+H	3.768	gamma-L-Glutamylputrescine	C9 H19 N3 O3	491093.599	752932.0395		1095937.033	243916.9984		430069.8315	789190.5064
171	p	331.94498	332.95215	M+H	4.371	332.9522_4.371	C8 H7 N4 O3 P3 S	836977.0555	356640.8948		882338.8344	1155520.357		551769.4909	930147.175
172	p	221.09134	222.09862	M+H	1.64	"6-Acetyl-2-amino-1,7,8,9-tetrahydro-4H-pyrimido[4,5-b][1,4]diazepin-4-one"	C9 H11 N5 O2	544584.2338	756810.5413		452831.1522	43823.2595		13832.49105	345687.348
173	p	129.04273	130.04997	M+H	3.994	1-Pyrroline-4-hydroxy-2-carboxylate	C5 H7 N O3	615893.0569	749807.1982		602832.0075	130888.6455		663380.8244	517333.5813
174	p	376.13838	377.14548	M+H	1.656	RiboflavinB2	C17 H20 N4 O6	673382.7667	748942.8023		539492.4232	223821.6896		177111.3251	564136.9864
175	p	219.15832	220.16557	M+H	3.694	220.1656_3.694	C9 H21 N3 O3	810709.6356	651685.0756		936771.4014	200767.0687		655767.1499	811036.7747
