ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
391	p	277.93672	278.944	M+H	4.379	278.94400_4.379	C H3 N4 O9 P S	142802.3113	115214.2774		92038.1676	212010.6812		65475.07576	92534.61869
392	p	125.0591	126.06634	M+H	3.119	5-Methylcytosine	C5 H7 N3 O	103877.0936	130674.4794		112601.2019	149411.7204		129299.1758	140802.4298
393	p	183.0387	184.04597	M+H	1.707	184.04597_1.707	C5 H13 N O2 S2	139902.123	122038.1629		18975.34349	17546.90406		14492.66534	14989.02406
394	p	514.00091	515.00812	M+H	4.377	515.008124.377	C10 H12 N8 O13 P2	82339.28158	128214.0791		43362.68018	41627.92499		16124.26264	47571.08045
395	p	191.13084	192.13812	M+H	0.886	DEET	C12 H17 N O	2304.028341	3679.236401		180840.4064	2283.608217		120972.9533	167085.0142
396	p	276.16854	277.17581	M+H	3.773	277.17581_3.773	C12 H24 N2 O5	5793.351156	11484.2122		14942.39482	484.2577522		159376.5142	3988.171546
397	p	383.30337	384.31064	M+H	0.884	384.31064_0.884	C22 H41 N O4	6861.663888	83870.72981		50069.48723	7057.022308		23785.61504	181415.6067
398	p	325.2979	326.30518	M+H	0.89	Oleoylethanolamide	C20 H39 N O2	4151.131619	41121.20746		22653.79126	6015.34376		13198.45235	176804.8727
399	p	183.12606	184.13336	M+H	4.405	methyprylon	C10 H17 N O2	98575.63718	114292.398		154306.4278	61204.71034		151464.3451	120207.8786
400	p	192.12639	193.13367	M+H	3.611	1-(4-Methoxyphenyl)piperazine	C11 H16 N2 O	128726.7068	1581.294049		387.9631564	1240.716543		1804.219904	373.2538799
401	p	145.11024	146.11754	M+H	3.71	Acetylcholine	C7 H15 N O2	94562.85837	110071.0867		52546.67939	57390.06992		147440.4634	54965.77461
402	p	326.06062	327.06799	M+H	1.796	327.06799_1.796	C10 H20 N2 O4 P2 S	80749.24554	117630.6708		75708.15767	336.3302994		58107.97515	21006.07519
403	p	187.12093	188.12823	M+H	4.453	8-Amino-7-oxononanoate	C9 H17 N O3	45694.92682	41687.78413		90416.10681	4344.332506		145588.4812	78395.88579
404	p	413.94817	414.95538	M+H	4.356	414.95538_4.356	C7 H9 N6 O7 P3 S	82446.92789	115490.1353		149668.5435	129414.428		90657.54296	166593.6436
